2025-11-06 20:01:24,145 - INFO - Registro descartado (Faltan valores obligatorios): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-06 20:01:24,145 - INFO - Registro descartado (Faltan valores obligatorios): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-06 20:01:24,145 - INFO - Registro descartado (Faltan valores obligatorios): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-06 20:01:24,145 - INFO - Registro descartado (Faltan valores obligatorios): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-06 20:01:24,145 - INFO - Registro descartado (Faltan valores obligatorios): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-06 20:01:24,146 - INFO - Registro descartado (Faltan valores obligatorios): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-06 20:01:24,146 - INFO - Registro descartado (Faltan valores obligatorios): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-06 20:01:24,146 - INFO - Registro descartado (Faltan valores obligatorios): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-06 20:01:24,146 - INFO - Registro descartado (Faltan valores obligatorios): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-06 20:01:24,146 - INFO - Registro descartado (Faltan valores obligatorios): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-06 20:01:24,146 - INFO - Registro descartado (Faltan valores obligatorios): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-06 20:01:24,146 - INFO - Registro descartado (Faltan valores obligatorios): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-06 20:01:24,146 - INFO - Registro descartado (Faltan valores obligatorios): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-06 20:01:24,146 - INFO - Registro descartado (Faltan valores obligatorios): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
