2025-11-30 19:32:21,720 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:32:21,720 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:32:21,720 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:32:21,720 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:32:21,720 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:32:21,720 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:32:21,720 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:32:21,721 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:32:21,721 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:32:21,721 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:32:21,721 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:32:21,722 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:32:21,722 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:32:21,723 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:32:21,723 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
2025-11-30 19:32:21,723 - INFO - Registro descartado (Violación de restricción NOT NULL (Faltan valores)): {'anio': 1970, 'titulo': nan, 'genero': nan, 'sinopsis': nan, 'fuente': nan}
